Longitude,Latitude,Name
-99.809758,21.438803,"163"
-99.809745,21.438813,"164"
-99.812523,21.439966,"165"
-99.817148,21.440732,"166"
-99.811457,21.440285,"167"
-99.809905,21.441195,"168"
-99.809158,21.439398,"169"
-99.719803,21.312457,"170"
-99.719867,21.312424,"171"
-99.719876,21.312382,"172"
-99.717150,21.302963,"173"
-99.714182,21.291344,"174"
-99.783913,21.375627,"175"
-99.788108,21.378902,"176"
-99.796130,21.382090,"177"
-100.002963,21.370805,"178"
-100.003160,21.369531,"179"
-100.002080,21.368128,"180"
-100.002026,21.368038,"181"
-100.002075,21.368032,"182"
-100.002655,21.368394,"183"
-100.002006,21.369970,"184"
-100.001618,21.372941,"185"
-100.001649,21.372966,"186"
-100.001971,21.373309,"187"
-100.148797,21.375351,"188"
-100.149690,21.376759,"189"
-100.150094,21.376200,"190"
-100.150086,21.376210,"191"
-100.150222,21.375736,"192"
-99.858964,21.314302,"193"
-99.854072,21.314581,"194"
-99.850872,21.315737,"195"
-99.850882,21.315769,"196"
-99.850904,21.315737,"197"
-99.850911,21.315735,"198"
-99.850929,21.315794,"199"
-99.849246,21.324798,"200"
-99.849073,21.325204,"201"
-99.849746,21.326512,"202"
-99.850041,21.326471,"203"
-99.857633,21.315484,"204"
-99.858198,21.315075,"205"
-99.858198,21.315075,"206"
-99.858198,21.315075,"207"
-99.858198,21.315075,"208"
-99.858198,21.315075,"209"
-99.858198,21.315075,"210"
-99.858198,21.315075,"211"
-99.858198,21.315075,"212"
-99.939380,21.379372,"213"
-99.982803,21.432133,"214"
-99.983096,21.432289,"215"
-99.983085,21.432264,"216"
-99.983071,21.432631,"217"
-100.114627,21.476388,"218"
-100.160942,21.603759,"219"
-100.160891,21.603669,"220"
-100.160539,21.603764,"221"
-100.160545,21.603780,"222"
-100.160501,21.603763,"223"
-100.160478,21.603717,"224"
-100.160407,21.603660,"225"
-100.160220,21.603551,"226"
-100.160002,21.603491,"227"
-100.160019,21.603492,"228"
-100.159908,21.603544,"229"
-100.159926,21.603503,"230"
-100.159919,21.603477,"231"
-100.159812,21.603671,"232"
-100.159818,21.603664,"233"
-100.159913,21.603625,"234"
-100.159964,21.603696,"235"
-100.162792,21.613719,"236"
-100.162735,21.613748,"237"
-100.162733,21.613746,"238"
-100.162732,21.613746,"239"
-100.162731,21.613745,"240"
-100.162838,21.613829,"241"
-100.162836,21.613830,"242"
-100.162388,21.613975,"243"
-100.162756,21.613884,"244"
-100.162158,21.615543,"245"
-100.162108,21.615593,"246"
-100.158133,21.612851,"247"
-100.158445,21.613119,"248"
-100.158508,21.613282,"249"
-100.158719,21.613276,"250"
-100.158695,21.613408,"251"
-100.158598,21.613327,"252"
-95.356570,16.737185,"253"
-96.161178,17.447491,"A00"
-104.993119,20.366889,"A01"
-104.992960,20.367905,"A02"
-104.992700,20.371057,"A03"
-104.990992,20.371412,"A04"
-104.989524,20.373287,"A05"
-104.981387,20.377763,"A06"
-104.980839,20.378248,"A07"
-104.980261,20.378240,"A08"
-104.977119,20.376826,"A09"
-104.976873,20.376183,"A10"
-104.976974,20.375860,"A11"
-104.978167,20.375414,"A12"
-104.977968,20.375134,"A13"
-104.977798,20.374854,"A14"
-104.971427,20.371149,"A15"
-104.969408,20.372038,"A16"
-104.960979,20.364392,"A17"
-104.886318,20.403373,"A18"
-104.810389,20.265344,"A2"
-94.924333,18.376190,"ABUELOSKINNERI"
-96.965233,18.617720,"AQI"
-96.961903,18.623035,"AT45"
-96.961995,18.621594,"ATZ01"
-96.961547,18.622137,"ATZ02"
-96.961613,18.622419,"ATZ03"
-96.961776,18.622602,"ATZ04"
-96.962014,18.622687,"ATZ12"
-105.021571,20.366595,"C01"
