"ID","LatGD","LonGD"
"BN391",25.37524,-100.21185
"BN392",25.37524,-100.21185
"BN393",19.85667,-97.401389
"BN394",19.87611,-97.506111
"BN395",21.003889,-98.661389
"BN396",21.3975,-99.0130555555556
"BN397",19.85667,-97.401389
"BN398",19.87611,-97.506111
"BN399",20.3275,-98.21028
"BN400",17.513361,-99.962778
"BN401",24.8825,-100.19199
"BN402",25.37524,-100.21185
"BN403",24.8825,-100.19199
"BN404",24.8825,-100.19199
"BN405",17.554583,-99.8865
"BN406",21.003889,-98.661389
"BN407",19.51371,-101.12364
